Partition,PDB,pKd
3,3iqg,4.60
3,1ofz,4.62
3,3u90,4.62
3,1h4w,4.66
3,3mss,4.66
3,2uy4,4.68
3,1c5n,4.70
3,2i2c,4.70
3,3nkk,4.70
3,3ny3,4.71
3,3omg,4.72
3,2ov4,4.74
3,3nim,4.75
3,2afw,4.77
3,3rm9,4.77
3,1bju,4.80
3,4ago,4.81
3,1xff,4.82
3,2ypi,4.82
3,3r0y,4.84
3,1xgi,4.85
3,3f70,4.85
3,2brb,4.86
3,1p1q,4.89
3,3juk,4.89
3,3rdv,4.91
3,2haw,4.92
3,3uxk,4.93
3,4dmw,4.94
3,1elr,4.96
3,2w67,4.96
3,3qbc,4.97
3,1hlk,5.00
3,1sts,5.00
3,3dvp,5.00
3,1ppi,5.01
3,2xbp,5.02
3,1fkw,5.05
3,2v77,5.06
3,3juo,5.07
3,1m48,5.09
3,1od8,5.10
3,2qrq,5.10
3,3ujb,5.10
3,3k4d,5.11
3,2web,5.12
3,3s9e,5.13
3,1jcx,5.15
3,1thz,5.15
3,2f5t,5.17
3,4duh,5.18
3,2qdt,5.19
3,1bq4,5.22
3,1w4o,5.22
3,2wzm,5.22
3,3ms9,5.22
3,1ndw,5.23
3,2jfz,5.24
3,3r24,5.25
3,3tkw,5.27
3,1c88,5.29
3,1srg,5.30
3,3p9l,5.30
3,1lvu,5.32
3,1hee,5.34
3,3nee,5.34
3,1adl,5.36
3,1sgu,5.37
3,2qhd,5.38
3,2h6b,5.39
3,1m7i,5.40
3,2c1p,5.40
3,3b4p,5.40
3,2vpo,5.42
3,2q6f,5.44
3,2iko,5.45
3,1gi1,5.47
3,2xde,5.47
3,3bxe,5.48
3,2h4k,5.49
3,3hmp,5.49
3,3kgt,5.51
3,2cht,5.52
3,4de3,5.52
3,3bxf,5.54
3,1njc,5.55
3,1jak,5.57
3,3uxl,5.57
3,1mfi,5.59
3,3bl1,5.60
3,2bmk,5.62
3,3nes,5.62
3,3rf5,5.63
3,2reg,5.64
3,3q7q,5.65
3,2x97,5.66
3,2qwf,5.67
3,2uyq,5.68
3,1egh,5.70
3,1pgp,5.70
3,2ya6,5.70
3,3fhb,5.70
3,2v25,5.72
3,1g3b,5.74
3,2pgz,5.74
3,3pb7,5.74
3,1jmf,5.77
3,3d1e,5.77
3,1g3c,5.80
3,1lkl,5.81
3,2nn1,5.82
3,3qqs,5.82
3,1ogz,5.85
3,2pu1,5.85
3,3ehy,5.85
3,1e1x,5.89
3,3eeb,5.89
3,4de0,5.89
3,3ebp,5.91
3,1o0h,5.92
3,2ans,5.92
3,3r4m,5.92
3,1b9j,5.96
3,2j79,5.96
3,3e12,5.99
3,1ceb,6.00
3,1xk5,6.00
3,2rcn,6.00
3,3l4w,6.00
3,2vl4,6.01
3,3su6,6.02
3,1os0,6.03
3,4f9v,6.03
3,3iss,6.05
3,1kjr,6.06
3,1jmg,6.07
3,3fvl,6.07
3,3bkk,6.08
3,3p8z,6.09
3,2ewb,6.10
3,3c8b,6.10
3,1o2z,6.11
3,2fgv,6.12
3,2fqt,6.14
3,1ppc,6.16
3,1yc1,6.17
3,1xhy,6.18
3,2bt9,6.19
3,2aj8,6.20
3,3n0h,6.21
3,3ip5,6.22
3,1m7d,6.23
3,1gnm,6.25
3,3su4,6.26
3,1atl,6.28
3,3f48,6.29
3,1wm1,6.30
3,3k5v,6.30
3,3q44,6.31
3,2zb1,6.32
3,1bdq,6.34
3,1cbx,6.35
3,3ctt,6.35
3,1o2o,6.36
3,2qpq,6.37
3,2wcg,6.38
3,1i7z,6.40
3,2y8c,6.40
3,4as6,6.40
3,2xxw,6.41
3,1o5a,6.42
3,2cia,6.43
3,3pfp,6.44
3,1r5y,6.46
3,1j01,6.47
3,1rpj,6.48
3,1dl7,6.49
3,2weg,6.50
3,3cj4,6.51
3,1g74,6.52
3,2nn7,6.52
3,3bva,6.52
3,4dko,6.52
3,1o3l,6.54
3,3fuz,6.54
3,1hp5,6.55
3,2xxr,6.55
3,2hzl,6.57
3,5er2,6.57
3,1c2t,6.59
3,2pvh,6.59
3,1b38,6.60
3,2j4g,6.60
3,3v3q,6.60
3,2ews,6.62
3,3ozp,6.62
3,1lcp,6.64
3,3b26,6.64
3,1cps,6.66
3,2xj7,6.66
3,1mai,6.68
3,3o75,6.68
3,1b3g,6.70
3,1nki,6.70
3,2py4,6.70
3,4ewn,6.70
3,2xc0,6.72
3,4djv,6.72
3,2x91,6.74
3,3m67,6.74
3,1o3j,6.77
3,3fvn,6.77
3,1nq7,6.80
3,3s2v,6.80
3,1k1n,6.82
3,2c94,6.82
3,2wk2,6.82
3,3s75,6.82
3,3ewj,6.84
3,1q72,6.85
3,3pn4,6.85
3,2zcr,6.87
3,1b3f,6.89
3,2bfq,6.89
3,2vk2,6.89
3,3cow,6.90
3,1o2j,6.92
3,3bl0,6.92
3,1tcx,6.95
3,1x8j,6.96
3,3t83,6.98
3,1ch8,7.00
3,2gyi,7.00
3,3drg,7.00
3,4b6o,7.00
3,1ypj,7.02
3,3pbb,7.02
3,1b5i,7.05
3,3ahn,7.05
3,4h3j,7.05
3,3cl0,7.07
3,1lpg,7.09
3,2il2,7.10
3,3udd,7.10
3,1xd0,7.12
3,3hww,7.12
3,4arw,7.13
3,3n7o,7.14
3,1zog,7.15
3,1f0u,7.16
3,2i6b,7.17
3,1gi4,7.19
3,3nsn,7.19
3,3c79,7.20
3,3s77,7.21
3,1lan,7.22
3,3cyz,7.22
3,3pcj,7.22
3,1g2l,7.24
3,3o84,7.24
3,2ole,7.25
3,1mrx,7.26
3,3ifo,7.26
3,2cgr,7.28
3,3fl5,7.28
3,3ccz,7.29
3,2i3i,7.30
3,3n0n,7.30
3,4sga,7.30
3,2j7e,7.32
3,2r2m,7.33
3,3f7i,7.34
3,1swg,7.36
3,3f7g,7.37
3,2hzy,7.39
3,1f8c,7.40
3,1zoe,7.40
3,3f18,7.40
3,1ik4,7.41
3,2pou,7.42
3,2isw,7.43
3,2oxn,7.44
3,2ccb,7.45
3,2g71,7.46
3,4dff,7.46
3,1iiq,7.48
3,4e0w,7.48
3,3n2v,7.51
3,1lke,7.52
3,3hfb,7.52
3,2e7l,7.54
3,1v0l,7.55
3,3rz0,7.55
3,1q95,7.57
3,3ipq,7.57
3,2xb8,7.59
3,2zmm,7.60
3,3kr4,7.60
3,1fzq,7.62
3,2psu,7.62
3,1c1r,7.63
3,3fat,7.64
3,966c,7.64
3,2cn0,7.66
3,2bpv,7.67
3,2arm,7.68
3,1bai,7.70
3,1oau,7.70
3,2hmu,7.70
3,3ewc,7.70
3,3th9,7.70
3,3lk8,7.71
3,3el5,7.72
3,1nfu,7.74
3,1usn,7.74
3,1xh9,7.77
3,3dsz,7.77
3,1u1b,7.80
3,2wl0,7.80
3,1b6h,7.82
3,2j34,7.82
3,2xjg,7.82
3,3ibl,7.84
3,1cny,7.85
3,2gv7,7.85
3,3ccw,7.87
3,2zn7,7.89
3,4g8m,7.89
3,2ovv,7.92
3,4hbm,7.92
3,3t85,7.95
3,1hvh,7.96
3,2qe4,7.96
3,3iww,7.96
3,3oyq,7.99
3,1gaf,8.00
3,1tkb,8.00
3,2vnt,8.00
3,3cyx,8.00
3,3hx3,8.00
3,4a6l,8.00
3,2cet,8.02
3,2bqv,8.05
3,3ag9,8.05
3,3vbd,8.07
3,3hub,8.09
3,1l6m,8.10
3,2vvu,8.10
3,1nvr,8.11
3,2yk1,8.13
3,3odu,8.14
3,2fxu,8.15
3,3i4b,8.15
3,3l3n,8.18
3,2jds,8.20
3,1w11,8.22
3,3v5t,8.22
3,3hll,8.24
3,3ug2,8.25
3,4djy,8.27
3,2pvk,8.30
3,3gjw,8.30
3,3dc3,8.31
3,2qci,8.34
3,3m6p,8.35
3,3r7o,8.36
3,1k21,8.38
3,1aaq,8.40
3,1k22,8.40
3,2baj,8.40
3,2vsl,8.40
3,3el9,8.40
3,4aoi,8.40
3,1w96,8.41
3,3nhi,8.43
3,2oag,8.47
3,2hs1,8.48
3,3b1m,8.48
3,2ihq,8.49
3,1fcy,8.52
3,2boh,8.52
3,2vvc,8.52
3,3lpi,8.52
3,1ppl,8.55
3,1q1g,8.57
3,2wky,8.59
3,3sxf,8.60
3,4hf4,8.62
3,1t31,8.64
3,1i9n,8.66
3,1bcd,8.70
3,1lnm,8.70
3,1xap,8.70
3,2jh0,8.70
3,2wgj,8.70
3,3brn,8.70
3,3i5z,8.70
3,3ckz,8.72
3,1sdv,8.74
3,1bnv,8.77
3,2wkz,8.77
3,1g46,8.80
3,1g54,8.82
3,3nu4,8.82
3,3b67,8.85
3,1nt1,8.89
3,3zze,8.89
3,3k37,8.92
3,3dcc,8.96
3,1apv,9.00
3,1wei,9.00
3,3dcw,9.00
3,3ui7,9.00
3,1g53,9.04
3,1ezq,9.05
3,4e4n,9.05
3,2rkf,9.08
3,1msn,9.09
3,3gnw,9.10
3,3vf7,9.10
3,2qmg,9.15
3,2fgu,9.18
3,1mh5,9.21
3,1hps,9.22
3,1zvx,9.22
3,1db1,9.26
3,3nzk,9.27
3,3vhd,9.28
3,2iw4,9.30
3,1bn4,9.31
3,2e27,9.35
3,1ksn,9.40
3,4erf,9.40
3,3rbu,9.43
3,1bnq,9.49
3,2g94,9.52
3,2pog,9.54
3,1o86,9.57
3,2zx8,9.64
3,3dp9,9.68
3,1mrw,9.70
3,3fuc,9.72
3,3ggu,9.77
3,3m36,9.82
3,3rdo,9.85
3,1zsf,9.92
3,1bv9,9.96
3,1d4h,10.00
3,3h5b,10.00
3,1sdu,10.07
3,3ps1,10.17
3,1qbu,10.24
3,4djq,10.32
3,2qi4,10.44
3,5std,10.49
3,2f81,10.52
3,3djk,10.59
3,2xei,10.62
3,2wva,10.70
3,7std,10.72
3,2qi5,10.85
3,1hvk,10.96
3,1q84,11.05
3,1d4y,11.10
3,3gi6,11.22
3,2q5k,11.30
3,2hb3,11.35
3,4djr,11.52
3,2i4d,11.68
3,1sl3,11.85
4,3pce,2.00
4,4tim,2.16
4,1icj,2.22
4,3ao5,2.23
4,1ps3,2.28
4,3pcg,2.30
4,3gtc,2.35
4,1f73,2.39
4,2i2b,2.44
4,1gyx,2.48
4,3mfv,2.52
4,1gwv,2.57
4,3fk1,2.62
4,2fzc,2.70
4,2qwb,2.74
4,2yiv,2.78
4,4dsu,2.82
4,3zt3,2.86
4,4gqq,2.89
4,4ai5,2.92
4,3dhv,2.96
4,3ckb,2.98
4,2rka,3.00
4,2vmd,3.02
4,3t08,3.04
4,2jfh,3.06
4,2xdl,3.10
4,2ya7,3.14
4,1ro7,3.18
4,1br6,3.22
4,1zc9,3.22
4,3qfz,3.24
4,3ioe,3.27
4,4fl1,3.28
4,2vw2,3.30
4,2wk6,3.32
4,3c2o,3.35
4,3d8z,3.37
4,1f8d,3.40
4,220l,3.40
4,2v2c,3.41
4,2xog,3.43
4,3ta0,3.47
4,1c5o,3.49
4,1jys,3.52
4,4eky,3.52
4,4aji,3.55
4,2gsu,3.59
4,2wp1,3.60
4,3jdw,3.60
4,1gyy,3.64
4,2v00,3.66
4,4aia,3.66
4,4aje,3.68
4,1gz4,3.70
4,2fx6,3.70
4,3g32,3.71
4,3f5l,3.72
4,2pyi,3.75
4,2v2h,3.77
4,1kug,3.80
4,4ajl,3.80
4,1j16,3.84
4,3mv0,3.85
4,3g2l,3.87
4,3obx,3.89
4,2qw1,3.90
4,2wos,3.90
4,3twp,3.92
4,1z3t,3.94
4,3gt9,3.96
4,4agm,3.98
4,1tni,4.00
4,2rin,4.00
4,3vd9,4.00
4,3po1,4.02
4,3nq9,4.03
4,1tuf,4.05
4,3qx9,4.05
4,2v2v,4.07
4,1o0n,4.09
4,2bvs,4.10
4,2exm,4.11
4,3mam,4.12
4,1m2x,4.15
4,3a9i,4.15
4,3d3x,4.16
4,2qfu,4.18
4,3cr5,4.19
4,1ghw,4.20
4,1qk4,4.21
4,1ua4,4.22
4,3zqe,4.23
4,3lk1,4.26
4,3gta,4.28
4,4i3z,4.29
4,2cli,4.30
4,3t0b,4.30
4,2ha6,4.32
4,1e3v,4.34
4,1sv3,4.35
4,1td7,4.37
4,3u9q,4.38
4,2pwd,4.40
4,2csn,4.41
4,1tjp,4.42
4,2wyf,4.43
4,2amt,4.44
4,2v83,4.47
4,3p17,4.48
4,1o7o,4.49
4,2eg8,4.50
4,3aas,4.51
4,1mrn,4.52
4,3bzf,4.52
4,1b2h,4.54
4,3iub,4.54
4,3p8p,4.55
4,1bma,4.59
4,3iqh,4.59
4,1u33,4.60
4,2vba,4.60
4,3vhk,4.60
4,2a5c,4.62
4,4ad3,4.62
4,1m1b,4.66
4,1c5p,4.68
4,3g35,4.68
4,1c86,4.70
4,2j9n,4.70
4,3suw,4.70
4,1vso,4.72
4,3r6c,4.72
4,3dnt,4.74
4,1q8t,4.76
4,2b4l,4.77
4,1oss,4.79
4,1ghz,4.80
4,1aid,4.82
4,1y3p,4.82
4,3kmx,4.82
4,1c83,4.85
4,2qwd,4.85
4,3ohi,4.85
4,3g2i,4.86
4,2aoc,4.89
4,3m8u,4.89
4,1bzc,4.92
4,3eax,4.92
4,1e2k,4.94
4,4ts1,4.94
4,1o5g,4.96
4,3bxg,4.96
4,4e3g,4.97
4,1nc3,5.00
4,2oiq,5.00
4,3gbe,5.00
4,2glp,5.01
4,3bgc,5.02
4,1qxk,5.05
4,2yge,5.06
4,1enu,5.08
4,1nw7,5.09
4,1onz,5.10
4,2r9w,5.10
4,4dcs,5.10
4,3ozj,5.11
4,3nkx,5.12
4,1y3x,5.14
4,1o0m,5.15
4,2afx,5.15
4,2zfp,5.17
4,1ocq,5.19
4,3ov1,5.20
4,1gjd,5.22
4,1zea,5.22
4,2zxd,5.22
4,3n1c,5.22
4,3lc3,5.23
4,3pb8,5.24
4,1w4q,5.26
4,1b46,5.28
4,2wc4,5.29
4,2q7q,5.30
4,3pgl,5.30
4,1y20,5.32
4,1zgi,5.34
4,1ql9,5.35
4,3bv9,5.36
4,3lqj,5.37
4,3e85,5.38
4,3hkt,5.39
4,1mmr,5.40
4,2f35,5.40
4,3l6h,5.40
4,3ng4,5.43
4,2wr8,5.44
4,3mi3,5.45
4,1o2s,5.47
4,2y7p,5.47
4,3iw6,5.48
4,2o0u,5.49
4,3i73,5.49
4,1a8i,5.52
4,2ydt,5.52
4,4en4,5.52
4,3jyr,5.54
4,1y3n,5.55
4,1njd,5.57
4,3jup,5.58
4,3gxy,5.59
4,3e6y,5.60
4,3e3c,5.62
4,4ddy,5.62
4,1f57,5.64
4,3fwv,5.64
4,1n5r,5.66
4,3ery,5.66
4,1gnn,5.68
4,3b5j,5.68
4,1g98,5.70
4,2avm,5.70
4,3acx,5.70
4,3kku,5.70
4,3jvr,5.72
4,1o33,5.74
4,2pqc,5.74
4,2ya8,5.75
4,1o5b,5.77
4,3k00,5.77
4,1kpm,5.80
4,1hdq,5.82
4,3b7i,5.82
4,4e9u,5.82
4,1q54,5.85
4,2r3t,5.85
4,4b6r,5.85
4,1ydk,5.89
4,3h1x,5.89
4,1v2n,5.90
4,1a4w,5.92
4,1pph,5.92
4,2pmk,5.92
4,3zv7,5.92
4,1d6w,5.96
4,2xht,5.96
4,3huc,5.99
4,1d2e,6.00
4,2bvd,6.00
4,2vqt,6.00
4,3nex,6.00
4,4b6s,6.01
4,3zq9,6.02
4,1sh9,6.03
4,1xbo,6.04
4,3pcf,6.05
4,1qb6,6.06
4,2gst,6.07
4,3owj,6.07
4,3iw5,6.08
4,1dzk,6.10
4,2flr,6.10
4,3cke,6.10
4,2qnq,6.11
4,2p2a,6.12
4,2zym,6.14
4,2i4j,6.16
4,3bkl,6.17
4,3c8a,6.18
4,2qbu,6.19
4,2qrp,6.20
4,3s8n,6.21
4,3lpp,6.22
4,3okv,6.23
4,2zdn,6.25
4,1pbq,6.27
4,1w3l,6.28
4,3h8b,6.29
4,2oi2,6.30
4,3tei,6.30
4,3uew,6.31
4,3ebh,6.32
4,1i00,6.34
4,1gjc,6.35
4,3ed0,6.35
4,3oku,6.36
4,2w9h,6.37
4,2ybu,6.38
4,1igb,6.40
4,2zdl,6.40
4,1i80,6.41
4,2xxx,6.41
4,2j78,6.42
4,2fqo,6.43
4,4ea1,6.44
4,1ro6,6.46
4,3cm2,6.47
4,2wnj,6.48
4,3bft,6.49
4,3bwj,6.50
4,3hf8,6.51
4,1k9s,6.52
4,2nt7,6.52
4,3dx3,6.52
4,4dkr,6.52
4,2h21,6.54
4,3jvs,6.54
4,1n4h,6.55
4,3s0e,6.55
4,2pwc,6.57
4,1k1i,6.58
4,1c3e,6.59
4,2pwr,6.59
4,1g7g,6.60
4,2jdp,6.60
4,4dkq,6.60
4,2j7b,6.62
4,4er1,6.62
4,1sln,6.64
4,3fee,6.64
4,1elc,6.66
4,2yz3,6.66
4,2fqw,6.68
4,3su1,6.68
4,1dfo,6.70
4,1xr8,6.70
4,3eko,6.70
4,4f09,6.70
4,3aqt,6.72
4,4flp,6.72
4,2zc9,6.74
4,3oim,6.74
4,1om1,6.77
4,3gcu,6.78
4,1p1n,6.80
4,2uwp,6.81
4,1lrh,6.82
4,2oxd,6.82
4,2xyd,6.82
4,3s9t,6.82
4,1ele,6.85
4,1qyg,6.85
4,3s8o,6.85
4,3qin,6.87
4,1fh8,6.89
4,2dri,6.89
4,3hu3,6.89
4,3gbb,6.90
4,1pkx,6.92
4,3lir,6.92
4,1c5c,6.96
4,3exe,6.96
4,4av0,6.98
4,1fki,7.00
4,2j7g,7.00
4,3kdm,7.00
4,4dew,7.00
4,2vwl,7.02
4,1b1h,7.03
4,1xug,7.05
4,3aho,7.05
4,1ui0,7.06
4,3ryv,7.07
4,2bz6,7.09
4,2v57,7.10
4,3u15,7.11
4,1z95,7.12
4,4e0x,7.12
4,4b6p,7.13
4,1elb,7.15
4,2fqx,7.15
4,3f3d,7.16
4,3el4,7.17
4,1hsl,7.19
4,4app,7.19
4,3k2f,7.20
4,3v7t,7.21
4,1sw2,7.22
4,3dzt,7.22
4,3uz5,7.22
4,1oyt,7.24
4,3p3t,7.24
4,2qbw,7.25
4,2qzr,7.26
4,1b40,7.28
4,2pql,7.28
4,3o7u,7.28
4,4do4,7.29
4,2qi1,7.30
4,3p5o,7.30
4,1o1s,7.31
4,3ipu,7.32
4,1uw6,7.34
4,1qkb,7.35
4,1b51,7.37
4,1bxq,7.38
4,3ds9,7.39
4,1k1m,7.40
4,2bpy,7.40
4,3re4,7.40
4,2q2a,7.41
4,2xys,7.42
4,1ciz,7.44
4,2qbq,7.44
4,3u7m,7.45
4,2p53,7.46
4,1xh4,7.47
4,1k6c,7.48
4,2hhn,7.49
4,1bm7,7.52
4,1mmq,7.52
4,3hmo,7.52
4,2f1g,7.54
4,2oi0,7.55
4,4asj,7.55
4,1qhc,7.57
4,3ocp,7.57
4,3p3s,7.59
4,3ehx,7.60
4,3liw,7.60
4,1k6t,7.62
4,2pvl,7.62
4,4avi,7.63
4,3h89,7.64
4,1f0r,7.66
4,2yme,7.66
4,1o2q,7.68
4,2yln,7.68
4,1fzm,7.70
4,1oz0,7.70
4,2hmv,7.70
4,3f3e,7.70
4,4acc,7.70
4,1ajv,7.72
4,3ljg,7.73
4,1qbo,7.74
4,3nb5,7.74
4,2g70,7.77
4,3gm0,7.77
4,1v48,7.80
4,3agl,7.80
4,1nf8,7.82
4,2jg0,7.82
4,3gcp,7.82
4,3n2u,7.84
4,1laf,7.85
4,3c84,7.85
4,1fzo,7.89
4,3c56,7.89
4,3cd5,7.90
4,3d7z,7.92
4,4hge,7.92
4,3u7n,7.95
4,1o3f,7.96
4,2x8z,7.96
4,3mhc,7.96
4,1a4k,8.00
4,1gai,8.00
4,1vyg,8.00
4,2vwn,8.00
4,3e92,8.00
4,3k97,8.00
4,4ehz,8.00
4,5tmn,8.04
4,2jkh,8.05
4,3ml2,8.05
4,1siv,8.08
4,3tu7,8.09
4,1stc,8.10
4,3f15,8.10
4,2pq9,8.11
4,1g35,8.14
4,3ryx,8.14
4,2jf4,8.15
4,4eo8,8.15
4,2r59,8.19
4,4gg7,8.20
4,2vvv,8.22
4,4h3g,8.22
4,1c1u,8.25
4,2e2r,8.26
4,1b6l,8.30
4,2v7a,8.30
4,3hku,8.30
4,2gj5,8.32
4,2xye,8.34
4,3nu5,8.35
4,4e6q,8.36
4,1mu6,8.38
4,1b6m,8.40
4,1mtr,8.40
4,2j95,8.40
4,2y82,8.40
4,3qxv,8.40
4,1e4h,8.41
4,1bwb,8.42
4,3u7s,8.43
4,2qo8,8.47
4,2p3b,8.48
4,3n3j,8.48
4,3s45,8.49
4,1i5r,8.52
4,2fvd,8.52
4,2vw5,8.52
4,3suu,8.52
4,2byr,8.55
4,2x4z,8.57
4,3ibi,8.59
4,3t3u,8.60
4,3f17,8.63
4,2qry,8.64
4,3d1x,8.66
4,1g4j,8.70
4,1ohr,8.70
4,2b7d,8.70
4,2ojj,8.70
4,2wyg,8.70
4,3d9z,8.70
4,3i60,8.70
4,3lik,8.72
4,2vkm,8.74
4,1d4l,8.77
4,3b5r,8.77
4,1w5w,8.80
4,1m0b,8.82
4,3mxd,8.83
4,3e93,8.85
4,2idw,8.89
4,3egt,8.90
4,4e6d,8.92
4,3i9g,8.96
4,1fm9,9.00
4,1y0l,9.00
4,3dd0,9.00
4,3uri,9.00
4,1qkt,9.04
4,1kdk,9.05
4,1nw4,9.07
4,3a2o,9.08
4,2v58,9.09
4,3lea,9.10
4,1d9i,9.11
4,2xjx,9.15
4,2xb7,9.19
4,1sqa,9.21
4,1hpv,9.22
4,2cer,9.22
4,2avv,9.26
4,1xow,9.28
4,4asd,9.28
4,2yxj,9.30
4,3rdq,9.31
4,2p95,9.37
4,1met,9.40
4,3ekv,9.41
4,1g1d,9.44
4,1hvr,9.51
4,2gvj,9.52
4,3ppm,9.54
4,2z4o,9.57
4,3el1,9.64
4,1bnu,9.70
4,2vh6,9.70
4,1nh0,9.74
4,456c,9.77
4,3nu3,9.82
4,1bn3,9.89
4,2vnp,9.92
4,1fjs,9.96
4,1ec2,10.00
4,3mxe,10.01
4,1sr7,10.10
4,4tmn,10.17
4,1rr6,10.25
4,4std,10.33
4,4ffs,10.44
4,2o4s,10.51
4,1g2o,10.55
4,3ekt,10.59
4,1b8o,10.64
4,2xeg,10.70
4,4gid,10.77
4,3i7e,10.85
4,1m7y,10.96
4,1eix,11.06
4,3std,11.11
4,3ok9,11.23
4,2xpk,11.30
4,1hvj,11.40
4,6cpa,11.52
4,1y6q,11.70
4,1ctu,11.92
5,1jfh,2.05
5,3gqz,2.17
5,1m0n,2.22
5,3i3b,2.23
5,3ip8,2.28
5,3rv4,2.30
5,3g2z,2.36
5,1nwl,2.39
5,3l7c,2.44
5,1ai4,2.50
5,3vdb,2.52
5,3kgp,2.57
5,1ajn,2.63
5,2uyn,2.70
5,2vyt,2.74
5,2bza,2.80
5,3moh,2.84
5,1cet,2.89
5,3c2u,2.90
5,1tng,2.93
5,3g34,2.96
5,3djq,2.98
5,2v3u,3.00
5,1ogd,3.03
5,3t1m,3.04
5,3mof,3.07
5,3buf,3.10
5,1e6q,3.15
5,3bug,3.18
5,1e6s,3.22
5,2ri9,3.22
5,1v2j,3.25
5,1bcu,3.28
5,4f20,3.29
5,3aaq,3.30
5,1jlr,3.33
5,3pwk,3.35
5,3n35,3.37
5,1ikt,3.40
5,223l,3.40
5,2qtn,3.42
5,3axz,3.43
5,4epy,3.47
5,1gzc,3.49
5,2j27,3.52
5,3obq,3.54
5,1h46,3.57
5,2nn8,3.59
5,2xdk,3.60
5,3m3o,3.60
5,2azr,3.64
5,3buh,3.66
5,4fl2,3.66
5,2a8g,3.69
5,1loq,3.70
5,3l59,3.70
5,1ai5,3.72
5,4tln,3.72
5,3d6p,3.75
5,2y9g,3.77
5,1li6,3.80
5,2hu6,3.81
5,1utj,3.84
5,3lbz,3.86
5,3si4,3.88
5,4aj4,3.89
5,2rkm,3.90
5,2xpc,3.90
5,1h5v,3.93
5,2v3d,3.94
5,4gqr,3.96
5,2g8r,3.99
5,1wc1,4.00
5,2whp,4.00
5,1c5z,4.01
5,2q8m,4.03
5,1hi5,4.04
5,2rk7,4.05
5,2clh,4.06
5,1n2v,4.08
5,2v88,4.09
5,3gk1,4.10
5,3d6o,4.11
5,4aa1,4.12
5,1q91,4.15
5,3c8e,4.15
5,3si3,4.16
5,3q2j,4.18
5,3f3a,4.19
5,2r2b,4.20
5,2qmj,4.21
5,3f80,4.22
5,2bes,4.24
5,3qwc,4.26
5,3jrs,4.28
5,1a30,4.30
5,2q7y,4.30
5,4eoh,4.30
5,2qtt,4.32
5,1z6s,4.34
5,1yfz,4.35
5,2jdy,4.37
5,2avq,4.39
5,3jzg,4.40
5,3iqi,4.41
5,3dri,4.42
5,3kqr,4.43
5,3u81,4.44
5,3hl5,4.47
5,3t01,4.48
5,3f9y,4.49
5,3n7h,4.50
5,3uug,4.51
5,1z4o,4.52
5,3gy7,4.52
5,1lyx,4.54
5,4b76,4.54
5,3ppq,4.55
5,2ihj,4.59
5,3ujc,4.59
5,1upf,4.60
5,2wlz,4.60
5,2bo4,4.61
5,2f6t,4.62
5,3uj9,4.63
5,2ca8,4.66
5,1wn6,4.68
5,2rio,4.69
5,2cex,4.70
5,2qfo,4.70
5,3tg5,4.70
5,2o1c,4.72
5,1v2o,4.73
5,3f3u,4.74
5,3acw,4.76
5,2dua,4.77
5,2nsj,4.79
5,2nta,4.80
5,1dud,4.82
5,2gl0,4.82
5,3r88,4.82
5,1ecv,4.85
5,2r9x,4.85
5,3qnd,4.85
5,3exh,4.88
5,2j77,4.89
5,3njq,4.89
5,1e1v,4.92
5,3rv8,4.92
5,2gss,4.94
5,1jn4,4.95
5,1tsy,4.96
5,3lbj,4.96
5,2w47,4.98
5,1o35,5.00
5,2oym,5.00
5,3k02,5.00
5,4agq,5.01
5,1i1e,5.03
5,3aau,5.05
5,3f68,5.06
5,2qtg,5.08
5,2ygf,5.09
5,1v0k,5.10
5,3gy4,5.10
5,1k4h,5.11
5,4e49,5.11
5,3zso,5.12
5,2br1,5.14
5,1pb8,5.15
5,3ozr,5.15
5,3b7j,5.17
5,1ogg,5.19
5,3uu1,5.20
5,1j17,5.22
5,2gz2,5.22
5,3dne,5.22
5,3ppp,5.22
5,1fh7,5.24
5,3ueu,5.24
5,2qft,5.26
5,1f5l,5.28
5,1a69,5.30
5,2vk6,5.30
5,3upv,5.30
5,2c80,5.33
5,3efs,5.34
5,2fxv,5.35
5,3ldq,5.36
5,3qt6,5.37
5,3tif,5.38
5,3m1k,5.39
5,1pz5,5.40
5,2i80,5.40
5,4aph,5.40
5,4f5y,5.43
5,3lp7,5.44
5,1b4h,5.46
5,1xh5,5.47
5,1g85,5.48
5,1pot,5.49
5,2uy5,5.49
5,3tza,5.50
5,1kc7,5.52
5,3eys,5.52
5,1bjv,5.54
5,3ubd,5.54
5,2iuz,5.55
5,2nmx,5.57
5,3su5,5.58
5,3sha,5.59
5,3qps,5.60
5,3ip9,5.62
5,4fm8,5.62
5,1y3v,5.64
5,3n86,5.64
5,1nhu,5.66
5,3td4,5.66
5,2c92,5.68
5,3oil,5.68
5,1g9r,5.70
5,2f2h,5.70
5,3c4h,5.70
5,1n7m,5.71
5,3shc,5.72
5,1o5e,5.74
5,3bzi,5.74
5,1p1o,5.76
5,1ur9,5.77
5,3rm4,5.77
5,1ppm,5.80
5,1kav,5.82
5,3gss,5.82
5,4do5,5.83
5,1qbn,5.85
5,2vmf,5.85
5,4des,5.85
5,2brm,5.89
5,3qgw,5.89
5,2weq,5.90
5,1jao,5.92
5,1qf2,5.92
5,2xn3,5.92
5,1fv0,5.93
5,1nl9,5.96
5,4de1,5.96
5,1a1e,6.00
5,1f0t,6.00
